sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
578.4906@14.687064,1020449,1145118,1188885,863559,915838,750105,881246,844444,806167,609678,591066,666109,914691,876459,785204
410.3761@14.698308,11722,15088,14178,17986,13492,1,22714,27322,28496,1,46965,27809,16352,18577,20192
618.4825@14.705265,850080,960516,1168168,679980,948234,752060,880332,959363,635468,485850,588019,398056,968107,1046044,928412
548.444@14.709857,731655,726186,707218,543363,587191,450179,374257,482646,399158,1,397239,300112,513046,470028,495669
640.5095@14.710801,346979,368847,351924,300906,293446,243297,327590,340642,327262,236930,213693,219211,325937,327079,337136
1214.981@14.711417,40871,58557,32692,24247,23711,16789,27118,30632,31454,1,1,1,40358,34291,29267
696.4258@14.710363,65306,55681,45905,52343,33784,1,42030,46797,1,30609,21181,1,53342,44170,1
596.5008@14.715133,1.12E+07,1.15E+07,1.17E+07,1.01E+07,9663861,7961948,1.04E+07,1.13E+07,1.06E+07,7507287,6831332,7297418,1.05E+07,1.11E+07,1.16E+07
694.474@14.711641,57240,55961,60284,52803,70023,43340,49458,1,51150,38179,49743,37658,69097,80575,61757
622.4997@14.7154,277591,338834,317691,233719,328408,237412,289069,290991,273188,181712,144724,178820,303302,303616,237485
536.4436@14.729899,56594,51892,42481,28414,42723,31778,1,44243,45982,1,1,1,56835,1,39925
312.303@14.729534,102698,144017,94849,222931,227022,155880,133060,182297,199128,162924,691999,309321,105544,106645,108157
418.3288@14.728728,18740,26158,17493,43827,48839,30759,1,34281,1,28426,139625,55984,1,16483,1
374.3209@14.729899,20518,1,14811,35011,39712,23107,1,26209,1,27210,101307,46192,1,1,15245
516.418@14.7410755,283080,337638,300164,185471,1,1,107400,154462,130210,140707,201389,131191,167859,160307,137995
322.1815@14.734385,33298,42773,33163,44724,1,38781,32665,37057,38949,16419,1,36099,35836,37553,34636
524.4434@14.733266,116208,207418,233354,205140,160267,89741,155348,192859,163219,122845,128942,129691,155885,113336,200554
574.4604@14.752572,4709567,5079144,5140518,2782369,2617288,2251367,1839965,2234701,1993307,1446095,1239639,1,3037733,3222891,3067963
454.239@14.742067,123427,110925,119657,68875,71352,60602,81869,77847,72467,66955,43737,62470,80313,70553,77784
438.3717@14.755401,36335,47982,40313,42408,43010,23606,31123,45727,47029,36223,134260,78108,20951,29980,26637
556.47@14.754858,17696,24415,12894,29025,21760,12285,18453,34816,31896,19503,96184,44834,1,17655,18776
338.3188@14.774734,84545,112060,85176,88878,96380,73565,63959,94807,108022,77369,200009,107154,53236,62866,65977
596.4436@14.770615,254144,1,245286,140552,138009,118721,94965,1,93575,77813,73405,62137,160151,147672,149009
424.2837@14.7778,23009,30530,23095,1,47671,18231,1,11720,1,1,87847,90661,12561,1,13601
580.5061@14.785201,452465,558318,485328,459272,392663,305008,384321,497697,347950,255295,286385,242688,350113,403588,395755
434.3762@14.790267,35342,42239,33077,35618,32391,23924,23401,41509,41342,31238,99169,38934,15550,24525,26686
480.4178@14.791334,78337,97677,89574,80356,83457,64747,72604,76301,73028,71531,82441,86397,74961,65399,71680
528.4178@14.784692,174592,203940,207181,1,145409,101272,108455,114065,123049,1,123321,62128,125418,113797,120805
599.5195@14.7968,66418,64812,63484,67680,60292,43817,78187,87654,94633,46584,33446,35557,67785,66437,62808
352.3347@14.807144,24029,41944,31559,30652,28895,22001,1,36344,40670,16633,26517,22762,15475,20589,20462
596.297@14.797299,35639,40681,25618,17997,37222,35603,1,26662,1,66056,107111,94712,1,1,1
550.46@14.811734,644242,818354,773867,562133,465726,418161,557322,591356,592979,373204,377759,165029,522996,558518,586066
458.379@14.821666,134315,114835,99886,102972,92926,92390,94096,102260,91235,104234,99995,105924,104859,103279,104066
734.5581@14.853399,262719,413816,244891,622168,595399,317935,569858,808128,968256,675022,1909929,1262551,294915,367197,393215
624.53@14.8546915,96477,104824,74542,51472,1,65808,1,103942,29532,32705,21814,44714,44234,46579,91795
620.2967@14.854784,136852,176314,107611,122215,116038,166142,57099,93243,131374,1,392412,313134,105473,90152,88630
