Sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
367.0343@5.772599,81204,67598,76864,115307,99026,101179,55480,53476,53213,60845,39491,53039,132376,151732,140404
352.0733@5.772066,119173,102855,115702,164860,153754,172697,82076,81129,92891,94773,57354,87549,189627,198402,194153
194.0795@5.772267,8602983,7496237,8253432,1.18E+07,1.09E+07,1.12E+07,6169343,5882440,6267626,6861662,4042797,5806686,1.48E+07,1.56E+07,1.53E+07
276.0941@5.7720666,133241,119374,120551,169832,157616,150831,106962,107840,107816,114886,79441,102940,187135,179210,156787
137.0585@5.7728004,131429,1,134452,181308,1,171441,94495,1,86144,1,1,114232,201614,237797,237248
82.0144@5.7727275,251913,219856,246669,348529,284569,316675,227708,1,1,206390,1,186580,357220,1,356896
238.0815@5.8296666,1,1,1,38603,42240,36533,51484,50651,53670,33456,43352,86460,61627,61839,67597
198.0885@5.830818,90762,75943,86123,22500,1,1,1,30125,36541,19449,1,46811,38764,39989,39512
326.1936@5.8947,1,1,23121,29156,27480,25320,17482,1,22153,34522,30030,38769,1,20207,1
262.1414@5.932429,70357,70059,67424,38679,26206,34088,45232,46850,40226,21481,1,25007,46834,47652,48778
156.0781@5.9976,123444,109198,127915,56803,51697,59662,73821,69479,76517,45179,41081,43888,41897,44203,45586
226.0814@6.024429,62011,52551,40164,29588,1,24844,26192,26920,22698,46677,44003,62027,56250,62085,62558
450.2112@6.039857,86838,76175,78950,71216,63044,63960,33724,34118,33938,16842,1,15914,20647,20410,21002
